noRepeatRounds,maxStreak,violationType,LaTeX,r2,mae,mse,rmse,max_res,ssr
5,1,MSV, 1.000x^2 -1.519x +0.150,0.9999991268032623,0.5086706111280878,0.48684281976091165,0.6977412269322428,1.6316090969908146,11.68422767426188
5,1,NRV, 5.038x -14.351,0.9998886809374633,0.5376141787439571,0.5417087395591781,0.7360086545409491,2.483363333333337,13.001009749420273
6,1,DRRV, 0.736x^2 -0.957x +0.213,0.9999975367205599,0.5059966712273086,0.7501564194849203,0.8661157079079679,3.069861906354163,18.003754067638088
6,1,MSV, 0.999x^2 -1.433x -0.600,0.9999987971987747,0.5805140463160426,0.670508310333247,0.8188457182725247,2.3805723350567405,16.092199447997928
6,1,NRV, 6.066x -20.992,0.9998803683058284,0.6614993961352632,0.8437824740700481,0.9185763300183868,3.2712366666666775,20.250779377681155
1,2,DRRV, 0.736x^2 -0.939x +0.168,0.9999988759161242,0.3587163980946007,0.34228579304546297,0.5850519575605768,1.9021015384603288,8.21485903309111
1,2,MSV, 0.500x^2 -1.026x +0.258,0.9999976298105189,0.41116064723320017,0.3243689824530998,0.5695340046503806,1.4461150000004181,7.784855578874396
1,2,NRV, 1.005x -0.594,0.9999205473981644,0.09983438405797006,0.015367386195652186,0.12396526205212566,0.2242143478261056,0.36881726869565246
2,2,DRRV, 0.734x^2 -0.847x -0.527,0.9999992494961585,0.3764957433870384,0.2283670268693575,0.4778776275045291,1.1456586682884335,5.48080864486458
2,2,MSV, 0.499x^2 -0.920x -0.691,0.9999944766357742,0.6365487483531137,0.7560216423596061,0.8694950502214525,2.622442307691472,18.144519416630548
2,2,NRV, 2.007x -2.309,0.9999493221984235,0.15529649758453423,0.039118935084540264,0.19778507295683428,0.45678623188408096,0.9388544420289664
3,2,DRRV, 0.736x^2 -0.950x +0.158,0.999997739674187,0.6401065384615313,0.6885786472352624,0.8298063914162522,1.9259698327764454,16.525887533646298
3,2,MSV, 0.499x^2 -0.955x -0.235,0.999996674012799,0.513715784939676,0.45440860348004253,0.6740983633565969,1.3900177713588846,10.90580648352102
3,2,NRV, 3.024x -5.448,0.9999527142005346,0.21845130434782467,0.08287804897946886,0.287885478931239,0.6599794202899005,1.9890731755072526
4,2,DRRV, 0.736x^2 -0.940x +0.104,0.9999985003883387,0.49585713818789356,0.45676368142470875,0.6758429413885365,1.704594615384849,10.96232835419301
4,2,MSV, 0.501x^2 -1.029x +0.246,0.9999957616365173,0.509111580267549,0.5805590404978477,0.7619442502557833,2.224005743386556,13.933416971948343
4,2,NRV, 4.030x -9.324,0.9999331833238475,0.34783731884058433,0.20802377400362526,0.4560962332705953,1.5285999999999929,4.992570576087006
5,2,DRRV, 0.736x^2 -0.952x +0.312,0.9999995722895143,0.2687553063241091,0.13029715763832103,0.36096697582787407,1.0039154545449946,3.1271317833197045
5,2,MSV, 0.500x^2 -0.989x +0.113,0.9999928017583313,0.6652767906911957,0.9846555199812017,0.9922981003615807,2.703109414715982,23.63173247954884
5,2,NRV, 5.057x -14.826,0.9999130863349472,0.49939675120773264,0.4259958424758478,0.6526835699447687,2.12092333333336,10.223900219420347
6,2,DRRV, 0.735x^2 -0.905x -0.199,0.9999988632924406,0.43514711918516613,0.3459212619165093,0.588150713607073,1.5814916813626496,8.302110285996223
6,2,MSV, 0.501x^2 -1.060x +0.340,0.9999965568373498,0.530991013479285,0.4720503598768054,0.687059211332477,1.7429480434781226,11.32920863704333
6,2,NRV, 6.067x -21.037,0.9998765093718001,0.7187421497584614,0.8714586647041123,0.9335195041905189,3.2328333333333426,20.915007952898694
1,3,DRRV, 0.736x^2 -0.961x +0.346,0.9999989558768464,0.3924663600891853,0.3179441941945151,0.5638654043249285,1.4228939464881023,7.630660660668362
1,3,MSV, 0.249x^2 -0.593x -0.225,0.9999853020269025,0.5193673962450644,0.49373331849897834,0.702661596004064,1.716327833688183,11.84959964397548
1,3,NRV, 1.003x -0.627,0.9998253136622464,0.15065333333333442,0.03371449125000011,0.18361506269911548,0.43705999999999534,0.8091477900000026
2,3,DRRV, 0.735x^2 -0.870x -0.556,0.9999989837878361,0.4343760717543083,0.3094667890037681,0.5562973925912004,1.4714082091823002,7.427202936090435
2,3,MSV, 0.249x^2 -0.577x -0.350,0.9999901729197694,0.4122045991689749,0.3295842769273859,0.574094310133262,1.7157407692305924,7.910022646257262
2,3,NRV, 2.005x -2.324,0.9999183796918735,0.19823198067632639,0.06291454048309182,0.2508277107559925,0.6037066666667243,1.5099489715942038
3,3,DRRV, 0.737x^2 -0.959x +0.280,0.9999990971712067,0.3769549903719562,0.2752782461720964,0.52466965432746,1.3221341562785938,6.6066779081303135
3,3,MSV, 0.248x^2 -0.550x -0.562,0.9999809771125333,0.6157645064355848,0.6376825825366663,0.7985503005676389,2.076819335664311,15.304381980879992
3,3,NRV, 3.013x -5.122,0.999920154977387,0.27889416666666655,0.13890636625000116,0.37270144385285275,0.8151999999999902,3.3337527900000277
4,3,DRRV, 0.735x^2 -0.871x -0.380,0.9999989473871235,0.44381433566436024,0.3204470367221745,0.5660804154200837,1.3112275919734202,7.690728881332188
4,3,MSV, 0.249x^2 -0.604x -0.192,0.999983928418941,0.5364625407925496,0.5390878375967806,0.734226012612452,2.098428589236619,12.938108102322735
4,3,NRV, 4.027x -9.202,0.9999231775677424,0.363767657004827,0.23879128151569926,0.48866274823818856,1.5614066666666835,5.730990756376782
